               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10816,             0.20492,            0.048267,             0.18842,             0.20346,             0.11178,            0.047242,            0.086344,             0.30503,            0.039762,           0.0033292,           0.0033292,            0.070037
                   1,            0.089959,             0.22199,            0.035432,             0.46278,             0.24811,             0.15986,            0.068967,            0.083823,             0.30608,            0.035251,           0.0065306,           0.0065306,            0.039905
                   2,            0.087481,             0.22967,            0.032639,             0.48943,             0.25605,             0.19732,            0.086622,            0.081016,             0.30707,            0.032748,              0.0096,              0.0096,           0.0096412
                   3,            0.083331,             0.22314,            0.029873,             0.46498,             0.27815,             0.24951,             0.12422,            0.075603,             0.30175,            0.031144,            0.009406,            0.009406,            0.009406
                   4,            0.079468,             0.21658,            0.028149,             0.46262,             0.28978,             0.27364,             0.13211,            0.075513,              0.2973,            0.029707,            0.009406,            0.009406,            0.009406
                   5,            0.078148,             0.21347,            0.027069,             0.60278,             0.30129,             0.31173,             0.16367,            0.072717,             0.29261,            0.028803,            0.009208,            0.009208,            0.009208
                   6,            0.077021,             0.21081,            0.026241,             0.48607,              0.3237,             0.32693,             0.17305,            0.072251,              0.2948,            0.028304,             0.00901,             0.00901,             0.00901
                   7,            0.075641,             0.20871,            0.025544,             0.46779,             0.34947,             0.34861,             0.18704,            0.071607,             0.28965,            0.027782,            0.008812,            0.008812,            0.008812
                   8,            0.075203,             0.20629,            0.024828,             0.40302,              0.3808,             0.35837,             0.19257,            0.071573,             0.29029,            0.027585,            0.008614,            0.008614,            0.008614
                   9,            0.074734,             0.20757,            0.024506,             0.41713,             0.40157,             0.37551,             0.20389,            0.070958,             0.28885,            0.027251,            0.008416,            0.008416,            0.008416
                  10,            0.074402,              0.2084,            0.024032,             0.44048,             0.40802,             0.38937,             0.21626,            0.070308,             0.28823,            0.026597,            0.008218,            0.008218,            0.008218
                  11,            0.073427,             0.20399,            0.023428,             0.46136,             0.40566,             0.39323,             0.21608,            0.070313,             0.28709,            0.026638,             0.00802,             0.00802,             0.00802
                  12,            0.073417,             0.20459,            0.023247,             0.50175,             0.38664,             0.40188,             0.22185,            0.070035,             0.28625,            0.026066,            0.007822,            0.007822,            0.007822
                  13,            0.072667,             0.20075,            0.022829,             0.44542,             0.43703,             0.41093,             0.23102,            0.069736,             0.28623,             0.02595,            0.007624,            0.007624,            0.007624
                  14,            0.072948,             0.20631,            0.022866,             0.49409,             0.40108,             0.40837,             0.23027,            0.069485,             0.28629,             0.02579,            0.007426,            0.007426,            0.007426
                  15,            0.072116,             0.20089,            0.022236,             0.50147,             0.40222,             0.41121,             0.23375,            0.069325,             0.28622,            0.026042,            0.007228,            0.007228,            0.007228
                  16,            0.071993,             0.20049,            0.021987,             0.49979,             0.42238,             0.42412,             0.23846,            0.069179,              0.2855,             0.02554,             0.00703,             0.00703,             0.00703
                  17,            0.071641,             0.19978,            0.021725,             0.49288,             0.43338,             0.42994,             0.24308,            0.068891,             0.28504,            0.025265,            0.006832,            0.006832,            0.006832
                  18,            0.071444,             0.20374,            0.021514,             0.50421,             0.42327,             0.42813,             0.24151,            0.068985,             0.28568,            0.025223,            0.006634,            0.006634,            0.006634
                  19,            0.071071,              0.1957,            0.021359,             0.51375,             0.42657,             0.43572,             0.24896,            0.068733,             0.28414,            0.024919,            0.006436,            0.006436,            0.006436
                  20,            0.071111,             0.19782,            0.021122,             0.48988,             0.45042,             0.43749,             0.24856,            0.068588,              0.2838,            0.024879,            0.006238,            0.006238,            0.006238
                  21,             0.07115,             0.19915,            0.021045,             0.53508,             0.41858,               0.435,             0.24819,            0.068447,             0.28395,             0.02484,             0.00604,             0.00604,             0.00604
                  22,            0.070579,             0.19492,            0.020862,             0.54093,             0.42339,             0.43894,             0.25011,            0.068388,              0.2839,            0.024645,            0.005842,            0.005842,            0.005842
                  23,            0.070291,             0.19404,            0.020765,             0.53746,             0.42845,             0.44501,             0.25529,            0.068327,             0.28422,            0.024507,            0.005644,            0.005644,            0.005644
                  24,            0.070443,             0.19703,            0.020554,             0.52791,             0.43981,             0.44454,             0.25514,            0.068262,             0.28413,             0.02456,            0.005446,            0.005446,            0.005446
                  25,            0.069774,             0.19327,            0.020356,             0.52663,             0.43817,             0.44183,             0.25493,            0.068052,             0.28353,            0.024553,            0.005248,            0.005248,            0.005248
                  26,            0.069817,             0.19271,            0.020324,             0.51478,             0.43936,             0.44253,             0.25474,            0.068048,             0.28503,            0.024551,             0.00505,             0.00505,             0.00505
                  27,             0.06976,             0.19328,            0.020193,             0.53833,             0.44054,             0.45083,             0.25994,            0.067865,             0.28425,            0.024385,            0.004852,            0.004852,            0.004852
                  28,            0.069525,             0.19336,            0.020127,             0.53664,             0.44729,             0.45271,             0.26005,            0.067865,             0.28397,            0.024328,            0.004654,            0.004654,            0.004654
                  29,            0.069701,              0.1931,            0.019999,             0.52063,             0.45916,             0.45094,             0.25933,             0.06784,             0.28354,            0.024417,            0.004456,            0.004456,            0.004456
                  30,            0.069099,             0.18941,            0.019907,             0.53437,             0.44426,              0.4528,             0.26286,            0.067711,              0.2832,            0.024215,            0.004258,            0.004258,            0.004258
                  31,            0.069275,              0.1936,            0.019774,             0.52623,             0.45006,              0.4539,             0.26399,            0.067671,              0.2836,            0.024121,             0.00406,             0.00406,             0.00406
                  32,            0.068973,             0.18943,            0.019457,              0.5402,             0.44945,              0.4587,             0.26465,            0.067772,             0.28377,            0.024115,            0.003862,            0.003862,            0.003862
                  33,            0.068441,             0.18759,            0.019448,             0.53882,             0.45119,             0.45838,             0.26404,            0.067728,             0.28286,            0.024132,            0.003664,            0.003664,            0.003664
